timestamp,x,y,z
4624000,-88.01606869149914,1.9695611700131783,71.08583143613332
4666000,-88.09592011977627,1.9670360396585682,74.02563117335414
4708000,-88.04721367137572,1.9528525618522554,76.74243138797794
4750000.0,-88.33172492780899,1.9696885980589725,79.06993526341792
4792000,-88.32185834104874,1.9999835089846265,82.26958351232376
4834000,-88.19338495957433,2.0267041871364855,86.02866833292586
4874000,-88.20303210905121,2.0566379320424724,89.49590672989623
4916000,-88.13930602498372,2.065609683730913,91.15423800695412
4958000,-88.05401994587896,2.0836156837169466,91.26153296913738
5000000.0,-87.71699108347259,2.110241935179744,91.2180011646653
5042000,-87.60760423433292,2.13172482017798,91.19187580119
5084000,-87.54472229554881,2.1503359765102896,91.20538215212036
5124000,-87.54761770478385,2.1672969724283115,91.20305328509127
5166000,-87.54183361506519,2.186457626403363,91.19788462147197
5208000,-87.55893132405409,2.2030586829813688,91.17536296054415
5250000.0,-87.5696782625932,2.2263635571156857,91.15312383332893
5292000,-87.55010914009227,2.2465149736400023,91.14468992066584
5334000,-87.5160002540618,2.2698191618833694,91.13982678290314
5374000,-87.51870117816169,2.2920172593319763,90.98023482765824
5416000,-87.5458492895829,2.323713854917396,90.41262066594689
5458000,-87.58518343757869,2.3622258269027507,89.1311479068516
5500000.0,-87.69368640939048,2.4216184300656085,86.67760332861965
5542000,-87.8142524478453,2.4915680990134477,83.41727295707209
5584000,-87.8790207248433,2.5731568331517685,79.54176273151816
5624000,-88.06365636074123,2.641127515662491,75.16412868313921
5666000,-88.16266186775705,2.7187699008303774,70.45567636832318
5708000,-88.3071474605844,2.79889189964883,64.9566153643832
5750000.0,-88.46784743118677,2.866144069039959,59.161077799182216
5792000,-88.69011211520247,2.9177640624869428,52.61769413664309
5834000,-88.97593059517891,2.9425121461685664,45.59246348410441
5874000,-89.21754830227175,2.956540672304436,38.277475105642644
5916000,-89.33029556881293,2.9562086626316844,34.81571710939567
5958000,-89.51144473610424,2.9602309899944066,31.355864104730173
6000000.0,-89.72299761445382,2.9150210639810354,25.707778940636736
6042000,-89.92853167130879,2.8343982607077454,20.01231121793023
6084000,-90.20949648284468,2.734388940249027,13.96193171068179
6124000,-90.25542887189494,2.6655181705201487,9.980009963855629
6166000,-90.48000767551419,2.5766065927667716,5.464517306951367
6208000,-90.66438792441706,2.4697577958021637,1.124383910902356
6250000.0,-90.65895589991119,2.4017053618511155,-2.5246071742341103
6292000,-90.79155037599928,2.376598544036289,-3.640343483642526
6334000,-90.79108558949511,2.3971810344898867,-3.696831233318918
6374000,-90.88641472066003,2.4193378817588678,-3.7169571024726586
6416000,-90.74451973814787,2.424823507301167,-3.6927138418935606
6458000,-90.85506930585929,2.4392029705933522,-3.694499504900905
6500000.0,-90.8341942740826,2.457106002035373,-3.697338528693819
6542000,-90.7841867836956,2.4834236798230296,-3.701125122730344
6584000,-90.85912608025147,2.4981185278358677,-3.706471268936815
6624000,-90.6968948447881,2.5175799633358666,-3.675827921489679
6666000,-90.29601991586911,2.5466166347187706,-3.4132456894809544
6708000,-90.27193395840688,2.5950643005865084,-3.6292236349787173
6750000.0,-90.65754910926907,2.579738497471206,-4.1007345281835414
6792000,-90.5482084581638,2.595487957078129,-3.9179823221127954
6834000,-91.18814586159375,2.589645429490103,-3.8651303970948634
6874000,-92.29259543004781,2.629576214498015,-3.9123669475887444
6916000,-93.51874475926456,2.638699213418755,-3.937894466441267
6958000,-94.40018613572623,2.642623380068815,-3.969112902882158
7000000.0,-94.65434312862503,2.6701592288734255,-3.9272944907808673
7042000,-94.38073230647728,2.6662206743917016,-3.9078415576787178
7084000,-94.4278362264033,2.707652298377477,-3.936119435869866
7124000,-95.24907968283213,2.7272197818106965,-3.953200545613101
7166000,-96.61568999093974,2.756495994679084,-3.9742598564466602
7208000,-98.83374233872443,2.7802451930461145,-3.9901982679799306
7250000.0,-101.68606036197183,2.7999827528104477,-3.9906834073614776
7292000,-105.31251502800703,2.779539089881,-4.043259190091143
7334000,-109.1935504556574,2.8311191139153076,-4.096828085281696
7374000,-112.65120718296136,2.856702669479229,-4.1585744353619685
7416000,-115.95823644805404,2.9614175375629053,-4.166564418044474
7458000,-118.70333659528362,3.0271564172282863,-4.17799116293115
7500000.0,-121.3659875548045,3.160411500215077,-4.14040276127168
7542000,-124.3062834890374,3.151505170394969,-4.229331919139634
7584000,-127.06149599383954,3.5244603847744562,-4.167721811708597
7624000,-129.78132699394902,4.12594209624558,-4.076255490706375
7666000,-133.0222544122762,4.569391857424038,-4.160859580805927
7708000,-136.56173087691346,5.061091043844652,-4.230283313607634
7750000.0,-140.17823015885023,5.0723011549661186,-4.351685376679826
7792000,-144.1365026500171,4.271689862980879,-4.132128194573063
7834000,-147.92670672563852,3.0059893929156924,-3.662799998515508
7874000,-151.04235002340624,2.2837216379525453,-3.28727690759944
7916000,-153.95777819668695,1.5886950128078388,-2.896350869185969
7958000,-156.17174601490845,1.3630098810366018,-2.773915381861692
8000000.0,-158.37314448673996,1.1364134567248536,-2.6320296161252146
8042000,-160.7872694768771,0.9613503463985592,-2.492074780929049
8084000,-163.5120634156984,0.8817793187854568,-2.441150788700687
8124000,-166.61769070541496,0.8867041798239914,-2.5331139860329275
8166000,-170.06350545402904,1.0794339486869629,-2.903231387605034
8208000,-172.80852263416472,1.1338902545873346,-3.1576217270400933
8250000,-174.65283270535357,1.1796073013139978,-3.4075633689136327
8292000,-175.55760443451794,1.2168954291004324,-3.506289592470853
8334000,-176.29062815153358,1.2615358452871934,-3.4503715638740977
8374000,-177.15871247330463,1.2003707764537113,-3.2593869216599076
8416000,-178.0445538961612,1.211794932169212,-3.0555443647871314
8458000,-178.90507461321099,1.1421283464050722,-2.9758239807038924
8500000.0,179.85809271445103,1.2394960937913795,-3.144866913700755
8542000,179.8858430636564,1.2151977088275083,-3.290249456547277
8584000,179.83482428616108,1.2701761925915513,-3.5328706250881905
8624000,179.79308267119305,1.3487281100643915,-3.667931299563699
8666000,179.75260884054003,1.391275262667854,-3.6501517065739955
8708000,179.80318796365898,1.3749804801174008,-3.5726731770102487
8750000.0,179.8085054650357,1.3229840555691315,-3.89108035113676
8792000,179.79659829881277,1.3702325320692463,-4.0712216691040695
8834000,179.71958140465196,1.484222057604496,-4.164143518998136
8874000,179.7194012326033,1.4991532013520683,-4.426274064363259
8916000,179.70261173921136,1.529012620381211,-4.7608931530170935
8958000,179.58704814008175,1.7081185601511688,-4.6991309348254875
9000000.0,179.58894642221154,1.7218876366726477,-4.636336141994921
9042000,179.5966513914709,1.6948947142034334,-4.672537823751468
9084000,179.63522787573717,1.6363559030118546,-4.7186733035483535
9124000,179.7962239150484,1.4082699252760655,-4.903398645993886
9166000,-179.95533740129298,1.2283695425261258,-5.204767579926336
9208000,-178.86055698886582,1.0914055774491072,-5.530224555579346
9250000.0,-177.2948484489164,0.9780386630289067,-5.754345043946918
9292000,-175.81875319058776,0.8818333889204659,-5.615814895498663
9334000,-174.3427000713182,0.8923008199674695,-5.649484576993611
9374000,-172.78984374026015,0.7546115385968805,-5.433078140983986
9416000,-170.8489144674132,0.8526415874185075,-5.672443649731462
9458000,-168.7589917885687,0.7320535444199784,-5.657759845313235
9500000.0,-167.60303402379068,0.8340849806818589,-5.872331898677033
9542000,-165.85706885257133,0.7898542075086291,-6.156764164331685
9584000,-163.70096827891558,0.8393294665045633,-6.307125474867649
9624000,-161.08841970089804,0.8808949682816462,-6.3736042830416855
9666000,-157.66410547259437,1.108570139623854,-6.502750762048623
9708000,-154.7164021220315,1.0768186896922647,-6.530913363466601
